Fecha,Compra,Venta
2002/1/01,1.85,2.05
2002/2/01,2.1,2.2
2002/3/01,2.9,3.0
2002/4/01,2.87,2.97
2002/5/01,3.5,3.6
2002/6/01,3.74,3.82
2002/7/01,3.56,3.64
2002/8/01,3.51,3.59
2002/9/01,3.6,3.68
2002/10/01,3.41,3.49
2002/11/01,3.47,3.55
2002/12/01,3.35,3.4
2003/1/01,3.17,3.23
2003/2/01,3.17,3.22
2003/3/01,2.96,3.02
2003/4/01,2.8,2.85
2003/5/01,2.83,2.88
2003/6/01,2.77,2.81
2003/7/01,2.89,2.94
2003/8/01,2.93,2.98
2003/9/01,2.89,2.93
2003/10/01,2.85,2.89
2003/11/01,2.95,2.99
2003/12/01,2.92,2.96
2004/1/01,2.9,2.94
2004/2/01,2.91,2.94
2004/3/01,2.84,2.88
2004/4/01,2.83,2.86
2004/5/01,2.94,2.98
2004/6/01,2.94,2.97
2004/7/01,2.96,2.99
2004/8/01,2.99,3.02
2004/9/01,2.97,3.0
2004/10/01,2.96,2.99
2004/11/01,2.93,2.96
2004/12/01,2.95,2.99
2005/1/01,2.91,2.94
2005/2/01,2.91,2.94
2005/3/01,2.91,2.94
2005/4/01,2.9,2.93
2005/5/01,2.87,2.9
2005/6/01,2.87,2.9
2005/7/01,2.85,2.88
2005/8/01,2.89,2.92
2005/9/01,2.89,2.92
2005/10/01,2.99,3.02
2005/11/01,2.96,2.99
2005/12/01,3.01,3.05
2006/1/01,3.04,3.08
2006/2/01,3.06,3.09
2006/3/01,3.06,3.09
2006/4/01,3.03,3.07
2006/5/01,3.04,3.08
2006/6/01,3.07,3.1
2006/7/01,3.06,3.1
2006/8/01,3.08,3.11
2006/9/01,3.09,3.12
2006/10/01,3.08,3.11
2006/11/01,3.06,3.09
2006/12/01,3.06,3.09
2007/1/01,3.09,3.12
2007/2/01,3.08,3.12
2007/3/01,3.09,3.12
2007/4/01,3.09,3.12
2007/5/01,3.07,3.1
2007/6/01,3.07,3.1
2007/7/01,3.08,3.12
2007/8/01,3.11,3.15
2007/9/01,3.11,3.15
2007/10/01,3.1,3.14
2007/11/01,3.13,3.15
2007/12/01,3.11,3.15
2008/1/01,3.14,3.17
2008/2/01,3.12,3.16
2008/3/01,3.13,3.17
2008/4/01,3.12,3.16
2008/5/01,3.06,3.1
2008/6/01,3.01,3.04
2008/7/01,3.0,3.04
2008/8/01,2.99,3.03
2008/9/01,3.1,3.14
2008/10/01,3.35,3.39
2008/11/01,3.33,3.37
2008/12/01,3.41,3.45
2009/1/01,3.45,3.49
2009/2/01,3.55,3.58
2009/3/01,3.68,3.72
2009/4/01,3.67,3.71
2009/5/01,3.71,3.75
2009/6/01,3.76,3.8
2009/7/01,3.79,3.83
2009/8/01,3.81,3.85
2009/9/01,3.8,3.84
2009/10/01,3.78,3.82
2009/11/01,3.77,3.81
2009/12/01,3.76,3.8
2010/1/01,3.8,3.84
2010/2/01,3.82,3.86
2010/3/01,3.84,3.88
2010/4/01,3.85,3.89
2010/5/01,3.89,3.93
2010/6/01,3.89,3.93
2010/7/01,3.9,3.94
2010/8/01,3.91,3.95
2010/9/01,3.92,3.96
2010/10/01,3.92,3.96
2010/11/01,3.95,3.99
2010/12/01,3.94,3.98
2011/1/01,3.97,4.01
2011/2/01,3.99,4.03
2011/3/01,4.01,4.05
2011/4/01,4.04,4.08
2011/5/01,4.05,4.09
2011/6/01,4.07,4.11
2011/7/01,4.11,4.15
2011/8/01,4.16,4.2
2011/9/01,4.17,4.21
2011/10/01,4.2,4.24
2011/11/01,4.24,4.28
2011/12/01,4.26,4.3
2012/1/01,4.3,4.34
2012/2/01,4.32,4.36
2012/3/01,4.34,4.38
2012/4/01,4.39,4.43
2012/5/01,4.43,4.47
2012/6/01,4.49,4.53
2012/7/01,4.55,4.59
2012/8/01,4.6,4.64
2012/9/01,4.66,4.7
2012/10/01,4.73,4.77
2012/11/01,4.8,4.84
2012/12/01,4.88,4.92
2013/1/01,4.94,4.98
2013/2/01,5.01,5.05
2013/3/01,5.08,5.12
2013/4/01,5.15,5.19
2013/5/01,5.24,5.28
2013/6/01,5.35,5.39
2013/7/01,5.47,5.51
2013/8/01,5.63,5.67
2013/9/01,5.75,5.79
2013/10/01,5.87,5.91
2013/11/01,6.1,6.14
2013/12/01,6.48,6.52
2014/1/01,7.86,8.01
2014/2/01,7.77,7.87
2014/3/01,7.9,8.0
2014/4/01,7.9,8.0
2014/5/01,7.98,8.08
2014/6/01,8.03,8.13
2014/7/01,8.11,8.21
2014/8/01,8.3,8.4
2014/9/01,8.33,8.43
2014/10/01,8.4,8.5
2014/11/01,8.43,8.53
2014/12/01,8.46,8.56
2015/1/01,8.55,8.65
2015/2/01,8.63,8.73
2015/3/01,8.72,8.82
2015/4/01,8.81,8.91
2015/5/01,8.9,9.0
2015/6/01,8.99,9.09
2015/7/01,9.1,9.2
2015/8/01,9.2,9.3
2015/9/01,9.33,9.43
2015/10/01,9.46,9.56
2015/11/01,9.6,9.7
2015/12/01,12.9,13.3
2016/1/01,13.58,13.98
2016/2/01,15.5,15.9
2016/3/01,14.4,14.8
2016/4/01,14.1,14.5
2016/5/01,13.8,14.2
2016/6/01,14.8,15.2
2016/7/01,14.8,15.2
2016/8/01,14.7,15.1
2016/9/01,15.1,15.5
2016/10/01,15.0,15.4
2016/11/01,15.7,16.1
2016/12/01,15.7,16.1
2017/1/01,15.7,16.1
2017/2/01,15.3,15.7
2017/3/01,15.2,15.6
2017/4/01,15.2,15.6
2017/5/01,15.9,16.3
2017/6/01,16.4,16.8
2017/7/01,17.45,17.85
2017/8/01,17.1,17.5
2017/9/01,17.1,17.5
2017/10/01,17.45,17.85
2017/11/01,17.1,17.5
2017/12/01,18.4,18.9
2018/1/01,19.4,19.9
2018/2/01,19.85,20.35
2018/3/01,19.9,20.4
2018/4/01,20.3,20.8
2018/5/01,24.4,25.4
2018/6/01,28.4,29.4
2018/7/01,26.9,27.9
2018/8/01,36.2,37.4
2018/9/01,40.3,42.1
2018/10/01,35.0,36.8
2018/11/01,36.8,38.6
2018/12/01,36.8,38.6
2019/1/01,36.4,38.2
2019/2/01,38.3,40.1
2019/3/01,42.3,44.3
2019/4/01,43.2,45.2
2019/5/01,43.8,45.8
2019/6/01,41.5,43.5
2019/7/01,42.9,44.9
2019/8/01,57.0,61.0
2019/9/01,55.5,59.0
2019/10/01,58.5,63.5
2019/11/01,57.75,62.25
2019/12/01,58.0,63.0
